t,x,y,theta,apf_vx,apf_vy,pwm_l,pwm_r,vel_left_cmd,vel_right_cmd,v_l_true,v_r_true,v_true,w_true
0.9500000000000003,124.73216465222785,24.300165230873613,21.43178712971087,267.9847908745247,297.18631178707227,79,91,371.0,429.0,112.7428,141.60879999999997,127.17579999999998,16.538999714246327
1.0000000000000002,130.6512649425447,26.623624293837864,22.258737115423173,267.17557251908397,297.70992366412213,79,91,372.0,428.0,112.7428,141.60879999999997,127.17579999999998,16.538999714246327
1.0500000000000003,136.536215414868,29.03226876789416,23.085687101135477,266.5644171779141,298.46625766871165,79,91,373.0,427.0,112.7428,141.60879999999997,127.17579999999998,16.538999714246327
1.1000000000000003,142.44111184524658,31.549177267772244,23.84372458803844,265.9476117103236,298.92141756548534,80,91,374.0,426.0,115.14829999999999,141.60879999999997,128.37855,15.160749738059137
1.1500000000000004,148.25718827980566,34.11967627992271,24.670674573750773,265.3250773993808,299.6904024767802,79,91,373.0,427.0,112.7428,141.60879999999997,127.17579999999998,16.538999714246327
1.2000000000000004,154.0902084881854,36.79894959537409,25.428712060653737,264.696734059098,300.15552099533437,80,91,374.0,426.0,115.14829999999999,141.60879999999997,128.37855,15.160749738059137
1.2500000000000004,159.88727177782408,39.555158489159105,26.1867495475567,263.85636221701793,300.7025761124122,80,91,375.0,425.0,115.14829999999999,141.60879999999997,128.37855,15.160749738059137
1.3000000000000005,165.5933984343081,42.36128194408095,26.875874535650297,263.52941176470586,301.1764705882353,80,90,376.0,424.0,115.14829999999999,139.2033,127.17580000000001,13.782499761871964
1.3500000000000005,171.26536253334132,45.23583121716333,27.564999523743893,262.88416075650116,301.6548463356974,80,90,376.0,424.0,115.14829999999999,139.2033,127.17580000000001,13.782499761871964
1.4000000000000006,176.902343574199,48.17839047894741,28.25412451183749,262.23277909738715,302.1377672209026,80,90,377.0,423.0,115.14829999999999,139.2033,127.17580000000001,13.782499761871964
1.4500000000000006,182.50352611677104,51.188534061716545,28.943249499931085,261.8933969769292,302.6252983293556,80,90,377.0,423.0,115.14829999999999,139.2033,127.17580000000001,13.782499761871964
1.5000000000000007,188.0680998995228,54.26582652107299,29.63237448802468,261.2310151878497,303.1175059952038,80,90,377.0,423.0,115.14829999999999,139.2033,127.17580000000001,13.782499761871964
1.5500000000000007,193.6475324154509,57.43955666877933,30.25258697730891,260.56224899598396,303.6144578313253,81,90,378.0,422.0,117.55379999999998,139.2033,128.37855,12.404249785684776
1.6000000000000008,199.19228388447763,60.67349565969773,30.872799466593136,260.20984665052464,304.11622276029055,81,90,379.0,421.0,117.55379999999998,139.2033,128.37855,12.404249785684776
1.6500000000000008,204.70170460551506,63.96726456003966,31.493011955877364,259.529602595296,304.62287104622874,81,90,379.0,421.0,117.55379999999998,139.2033,128.37855,12.404249785684776
1.7000000000000008,210.1751490173228,67.3204774255027,32.11322444516162,258.95765472312706,304.885993485342,81,90,380.0,420.0,117.55379999999998,139.2033,128.37855,12.404249785684776
