t,x,y,theta,pwm_l,pwm_r,v_true,v_exp,apf_vx,apf_vy
7.599999999999981,209.38016446571922,-169.42781024058678,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-130.0
7.649999999999981,209.43399783378905,-169.5173654111927,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-130.0
7.699999999999981,209.48783120185888,-169.60692058179865,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-130.0
7.7499999999999805,209.5416645699287,-169.69647575240458,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-130.0
7.79999999999998,209.59549793799854,-169.78603092301051,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-130.0
7.84999999999998,209.64933130606838,-169.87558609361645,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-130.0
7.89999999999998,209.7031646741382,-169.96514126422238,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-130.0
7.94999999999998,209.75699804220804,-170.05469643482832,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-130.0
7.99999999999998,209.81083141027787,-170.14425160543425,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-129.0
8.04999999999998,209.8646647783477,-170.23380677604018,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-129.0
8.09999999999998,209.91849814641753,-170.32336194664612,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-129.0
8.14999999999998,209.97233151448737,-170.41291711725205,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-129.0
8.199999999999982,210.0261648825572,-170.50247228785798,-58.989098980812116,33,33,2.0897999999999968,154.0,90.0,-129.0
8.249999999999982,210.07999825062703,-170.59202745846392,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-129.0
8.299999999999983,210.13383161869686,-170.68158262906985,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-129.0
8.349999999999984,210.1876649867667,-170.77113779967578,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-129.0
8.399999999999984,210.24149835483652,-170.86069297028172,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-129.0
8.449999999999985,210.29533172290635,-170.95024814088765,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-129.0
8.499999999999986,210.3491650909762,-171.03980331149359,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-129.0
8.549999999999986,210.40299845904602,-171.12935848209952,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.599999999999987,210.45683182711585,-171.21891365270545,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.649999999999988,210.51066519518568,-171.3084688233114,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.699999999999989,210.5644985632555,-171.39802399391732,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.74999999999999,210.61833193132534,-171.48757916452325,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.79999999999999,210.67216529939517,-171.5771343351292,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.84999999999999,210.725998667465,-171.66668950573512,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.899999999999991,210.77983203553484,-171.75624467634105,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.949999999999992,210.83366540360467,-171.845799846947,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
8.999999999999993,210.8874987716745,-171.93535501755292,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
9.049999999999994,210.94133213974433,-172.02491018815886,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-128.0
9.099999999999994,210.99516550781416,-172.1144653587648,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-127.0
9.149999999999995,211.048998875884,-172.20402052937072,-58.989098980812116,33,33,2.0897999999999968,154.0,89.0,-127.0
9.199999999999996,211.10283224395383,-172.29357569997666,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.249999999999996,211.15666561202366,-172.3831308705826,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.299999999999997,211.2104989800935,-172.47268604118852,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.349999999999998,211.26433234816332,-172.56224121179446,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.399999999999999,211.31816571623315,-172.6517963824004,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.45,211.37199908430298,-172.74135155300633,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.5,211.42583245237282,-172.83090672361226,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.55,211.47966582044265,-172.9204618942182,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.600000000000001,211.53349918851248,-173.01001706482413,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.650000000000002,211.5253667383739,-172.99648822600687,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
9.700000000000003,211.57920010644372,-173.0860433966128,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
9.750000000000004,211.57106765630513,-173.07251455779556,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
9.800000000000004,211.56293520616654,-173.0589857189783,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
9.850000000000005,211.55480275602795,-173.04545688016105,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
9.900000000000006,211.54667030588936,-173.0319280413438,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
9.950000000000006,211.53853785575077,-173.01839920252655,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.000000000000007,211.53040540561219,-173.0048703637093,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.050000000000008,211.5222729554736,-172.99134152489205,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.100000000000009,211.57610632354343,-173.08089669549798,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
10.15000000000001,211.56797387340484,-173.06736785668073,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.20000000000001,211.55984142326625,-173.05383901786348,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.25000000000001,211.55170897312766,-173.04031017904623,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.300000000000011,211.54357652298907,-173.02678134022898,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.350000000000012,211.53544407285048,-173.01325250141173,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.400000000000013,211.5273116227119,-172.99972366259448,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.450000000000014,211.58114499078172,-173.0892788332004,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
10.500000000000014,211.57301254064313,-173.07574999438316,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.550000000000015,211.56488009050454,-173.0622211555659,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.600000000000016,211.55674764036596,-173.04869231674866,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.650000000000016,211.54861519022737,-173.0351634779314,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.700000000000017,211.54048274008878,-173.02163463911415,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.750000000000018,211.5323502899502,-173.0081058002969,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.800000000000018,211.5242178398116,-172.99457696147965,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.85000000000002,211.57805120788143,-173.08413213208559,-58.989098980812116,33,33,2.0897999999999968,154.0,88.0,-127.0
10.90000000000002,211.56991875774284,-173.07060329326833,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
10.95000000000002,211.56178630760425,-173.05707445445108,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.000000000000021,211.55365385746566,-173.04354561563383,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.050000000000022,211.54552140732707,-173.03001677681658,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.100000000000023,211.53738895718848,-173.01648793799933,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
11.150000000000023,211.5292565070499,-173.00295909918208,-58.989098980812116,32,32,-0.31570000000000675,149.33333333333334,88.0,-126.0
